Date,Open,High,Low,Close,Volume
2023-01-01,99.87,100.79,98.94,100.57,418693
2023-01-02,100.82,102.73,99.47,101.28,265575
2023-01-03,102.07,103.47,101.09,102.1,435938
2023-01-04,103.05,103.61,101.99,102.72,407257
2023-01-05,101.54,102.19,100.59,101.88,174069
2023-01-06,101.82,102.31,99.19,102.02,329189
2023-01-07,104.27,104.87,103.78,104.72,498465
2023-01-08,104.05,104.92,103.87,104.37,351051
2023-01-09,104.16,104.21,103.3,104.68,225541
2023-01-10,104.87,105.7,104.17,104.6,289648
2023-01-11,103.55,103.82,102.98,104.21,356353
2023-01-12,103.52,103.57,103.4,103.62,371830
2023-01-13,102.17,102.41,99.61,103.21,415507
2023-01-14,101.37,102.28,101.27,101.02,459687
2023-01-15,100.03,100.61,98.88,100.9,231733
2023-01-16,98.97,99.72,98.27,99.07,275915
2023-01-17,99.4,99.9,99.36,99.07,195673
2023-01-18,98.18,99.16,96.41,97.94,142828
2023-01-19,97.77,97.87,97.14,97.61,410748
2023-01-20,96.64,97.39,94.83,96.85,372670
2023-01-21,98.76,100.43,98.05,99.02,431054
2023-01-22,97.1,97.64,96.53,96.81,125592
2023-01-23,98.46,99.13,97.83,98.45,391126
2023-01-24,96.46,97.03,95.49,97.53,362351
2023-01-25,95.42,96.18,94.8,96.29,332041
2023-01-26,96.25,98.06,94.68,96.47,450877
2023-01-27,94.97,96.6,94.24,94.99,330008
2023-01-28,94.95,95.0,94.7,95.01,224982
2023-01-29,94.68,94.94,94.61,94.99,356911
2023-01-30,94.16,95.07,93.54,93.65,168619
2023-01-31,93.81,94.45,93.63,93.68,260400
2023-02-01,95.94,97.6,94.6,95.1,408623
2023-02-02,96.39,96.45,96.01,96.59,251175
2023-02-03,93.92,95.13,93.31,94.24,270963
2023-02-04,96.42,97.08,95.86,96.18,241826
2023-02-05,93.16,93.21,92.08,93.95,331055
2023-02-06,94.27,95.13,93.44,93.66,443581
2023-02-07,92.68,93.06,92.22,91.95,198540
2023-02-08,91.2,92.2,91.13,91.31,435126
2023-02-09,90.94,91.52,89.28,91.47,202747
2023-02-10,91.89,92.72,91.46,92.73,286994
2023-02-11,91.92,93.05,91.71,91.69,410375
2023-02-12,91.75,92.28,91.48,92.29,129301
2023-02-13,92.17,93.61,90.9,92.15,322724
2023-02-14,90.45,92.92,89.37,90.36,293783
2023-02-15,89.2,90.0,88.15,89.64,272395
2023-02-16,89.54,90.12,89.5,89.86,118752
2023-02-17,90.3,90.5,89.62,89.51,313277
2023-02-18,90.9,91.27,90.87,91.63,460596
2023-02-19,89.04,89.65,89.01,89.73,244467
2023-02-20,88.64,88.72,87.7,88.32,317029
2023-02-21,88.39,88.54,87.87,88.58,483381
2023-02-22,88.36,89.53,88.27,88.61,156273
